,name,image_url,review_count,categories,rating,Address,Postal Code,latitude,longitude,Number
383,Jai Thai,https://s3-media4.fl.yelpcdn.com/bphoto/SADXPeEISv1y_SxXO6n5Uw/o.jpg,21,thai,4,27 Purvis St,188604,1.29627,103.85532,6563366908
384,Wah Lok Cantonese Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/YOKP89ZD4gzfyyKB1ChmgQ/o.jpg,18,cantonese,4,76 Bras Basah Rd,189558,1.296078903,103.8525358,6563118188
385,Kinki,https://s3-media2.fl.yelpcdn.com/bphoto/k70poe0GRmLgwtQZxQBQrg/o.jpg,31,japanese,3.5,70 Collyer Quay,049323,1.282520314,103.8535843,6565333471
386,Hoshino Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/suy_Fn9A5aRE2vcxP5FnEA/o.jpg,26,desserts,3.5,68 Orchard Road,238839,1.299660069,103.8457131,6563883277
387,Kelly Jie Seafood,https://s3-media1.fl.yelpcdn.com/bphoto/VcB8S35EuBQQqEZUBF-NRg/o.jpg,18,seafood,4,Blk 211 Lorong 8 Toa Payoh,310211,1.34083,103.854,6563533120
388,The Assembly Ground,https://s3-media3.fl.yelpcdn.com/bphoto/eokz8C_b-9r6zn1D-DKnhQ/o.jpg,27,diners,3.5,2 Handy Rd,229233,1.2993784,103.8478027,6567333375
389,Founder Bak Kut Teh,https://s3-media2.fl.yelpcdn.com/bphoto/vyaqSIemX43fcOPwCNtkjQ/o.jpg,13,singaporean,4,500 Jalan Sultan,199020,1.305456171,103.860212,6568162582
390,Ah Heng Curry Chicken Bee Hoon Mee,https://s3-media4.fl.yelpcdn.com/bphoto/nzGgbbODVGbXbDHdH3C1Hw/o.jpg,15,streetvendors,4,Blk 531A Upper Cross St,050531,1.285164,103.845774,
391,Liao Fan Hawker Chan,https://s3-media2.fl.yelpcdn.com/bphoto/lBBnXraI5yhfJvXPHTgGRw/o.jpg,17,noodles,4,18 Tai Seng St,534119,1.336161309,103.8886158,6563862000
392,Boat Quay,https://s3-media2.fl.yelpcdn.com/bphoto/jgyoxMljKXtvYfFY4Ms6SQ/o.jpg,17,landmarks,4,Boat Quay,049868,1.287345004,103.8490544,
393,One Man Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/GJ1vZD3pK95gM8pgN01q4g/o.jpg,15,cafes,4,215R Upper Thompson Road,574349,1.35263,103.83475,6564561555
394,City Space,https://s3-media2.fl.yelpcdn.com/bphoto/fVsmBevhZVG3Y6dhavOPbg/o.jpg,12,wine_bars,4.5,2 Stamford Road,178882,1.293228178,103.853276,6568373322
395,Famous Sungei Road Trishaw Laksa,https://s3-media2.fl.yelpcdn.com/bphoto/OtsO2kuP2Xsw9fNmxpK1VA/o.jpg,9,hawkercentre,4.5,531A Upper Cross St,051531,1.285304,103.84574,
396,The Market Grill,https://s3-media1.fl.yelpcdn.com/bphoto/Ri1PZYpZW2Bz80ANzai-ug/o.jpg,21,diners,4,208 Telok Ayer Street,068642,1.2799808,103.8471154,6562213323
397,CreatureS,https://s3-media1.fl.yelpcdn.com/bphoto/jKyELWoQhrH8GNFoJD4Oew/o.jpg,15,breakfast_brunch,4,120 Desker Rd,209639,1.30811,103.85632,6562916996
398,VeganBurg,https://s3-media4.fl.yelpcdn.com/bphoto/BA352hLoLbQTHXYkh-ydfg/o.jpg,21,hotdogs,4,44 Jalan Eunos,419502,1.320952,103.9054736,6568446868
